GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,B3P001,B3P002,B3P003,B3P004,B3P005,B3P006,B3P007,B3P008
"G1900590","1950","Iowa","190","Dickinson","0590","Dickinson",6289,227,1,4,6047,183,1,4
"G1900610","1950","Iowa","190","Dubuque","0610","Dubuque",34073,896,64,18,35416,834,28,8
"G1900630","1950","Iowa","190","Emmet","0630","Emmet",6800,306,5,1,6754,235,1,0
"G1900650","1950","Iowa","190","Fayette","0650","Fayette",13850,444,19,11,13563,395,10,2
"G1900670","1950","Iowa","190","Floyd","0670","Floyd",10592,341,6,9,10237,311,4,5
"G1900690","1950","Iowa","190","Franklin","0690","Franklin",7825,420,2,4,7707,308,2,0
"G1900710","1950","Iowa","190","Fremont","0710","Fremont",6175,60,1,3,6028,49,2,5
"G1900730","1950","Iowa","190","Greene","0730","Greene",7698,143,2,0,7559,139,3,0
"G1900750","1950","Iowa","190","Grundy","0750","Grundy",6561,339,2,0,6510,310,0,0
"G1900770","1950","Iowa","190","Guthrie","0770","Guthrie",7508,122,2,2,7443,120,0,0
"G1900790","1950","Iowa","190","Hamilton","0790","Hamilton",9581,345,3,3,9437,282,1,8
"G1900810","1950","Iowa","190","Hancock","0810","Hancock",7399,364,2,0,7009,300,3,0
"G1900830","1950","Iowa","190","Hardin","0830","Hardin",10689,489,21,10,10583,423,3,0
"G1900850","1950","Iowa","190","Harrison","0850","Harrison",9659,206,6,5,9508,174,1,1
"G1900870","1950","Iowa","190","Henry","0870","Henry",9045,183,68,2,9182,146,80,2
"G1900890","1950","Iowa","190","Howard","0890","Howard",6375,206,0,4,6339,180,0,1
"G1900910","1950","Iowa","190","Humboldt","0910","Humboldt",6350,335,2,0,6182,247,1,0
"G1900930","1950","Iowa","190","Ida","0930","Ida",5174,342,1,3,4937,240,0,0
"G1900950","1950","Iowa","190","Iowa","0950","Iowa",7809,216,7,1,7605,190,1,6
"G1900970","1950","Iowa","190","Jackson","0970","Jackson",9505,225,2,1,8691,197,1,0
"G1900990","1950","Iowa","190","Jasper","0990","Jasper",15767,458,28,8,15637,382,22,3
"G1901010","1950","Iowa","190","Jefferson","1010","Jefferson",7679,118,19,0,7778,91,11,0
"G1901030","1950","Iowa","190","Johnson","1030","Johnson",23118,521,137,64,21335,489,64,28
"G1901050","1950","Iowa","190","Jones","1050","Jones",9915,335,50,8,8826,266,1,0
"G1901070","1950","Iowa","190","Keokuk","1070","Keokuk",8272,123,2,0,8283,116,1,0
"G1901090","1950","Iowa","190","Kossuth","1090","Kossuth",12988,481,5,2,12342,417,6,0
"G1901110","1950","Iowa","190","Lee","1110","Lee",20441,357,606,14,20764,339,573,8
"G1901130","1950","Iowa","190","Linn","1130","Linn",48554,1978,385,28,50985,1931,395,18
"G1901150","1950","Iowa","190","Louisa","1150","Louisa",5671,65,2,2,5302,58,0,1
"G1901170","1950","Iowa","190","Lucas","1170","Lucas",5919,123,10,1,5892,117,7,0
"G1901190","1950","Iowa","190","Lyon","1190","Lyon",6892,635,1,3,6661,504,1,0
"G1901210","1950","Iowa","190","Madison","1210","Madison",6510,57,2,2,6501,58,0,1
"G1901230","1950","Iowa","190","Mahaska","1230","Mahaska",11677,353,44,6,12230,306,48,8
"G1901250","1950","Iowa","190","Marion","1250","Marion",13081,590,94,6,11741,384,29,5
"G1901270","1950","Iowa","190","Marshall","1270","Marshall",16907,497,134,5,17498,452,111,7
"G1901290","1950","Iowa","190","Mills","1290","Mills",6998,96,10,0,6874,81,3,2
"G1901310","1950","Iowa","190","Mitchell","1310","Mitchell",6875,239,0,1,6626,204,0,0
"G1901330","1950","Iowa","190","Monona","1330","Monona",7984,283,1,0,7800,234,1,0
"G1901350","1950","Iowa","190","Monroe","1350","Monroe",5725,270,61,1,5506,191,60,0
"G1901370","1950","Iowa","190","Montgomery","1370","Montgomery",7447,242,12,5,7767,207,5,0
"G1901390","1950","Iowa","190","Muscatine","1390","Muscatine",15331,488,47,2,15791,446,41,2
"G1901410","1950","Iowa","190","O Brien","1410","O Brien",8864,638,0,2,8965,500,0,1
"G1901430","1950","Iowa","190","Osceola","1430","Osceola",4970,276,2,0,4725,207,1,0
"G1901450","1950","Iowa","190","Page","1450","Page",11353,274,51,7,11938,239,55,4
"G1901470","1950","Iowa","190","Palo Alto","1470","Palo Alto",7780,279,2,0,7597,232,0,1
"G1901490","1950","Iowa","190","Plymouth","1490","Plymouth",11507,480,4,0,10849,410,0,2
"G1901510","1950","Iowa","190","Pocahontas","1510","Pocahontas",7562,297,42,2,7336,246,10,1
"G1901530","1950","Iowa","190","Polk","1530","Polk",100534,3896,4016,125,109459,3585,4307,88
"G1901550","1950","Iowa","190","Pottawattamie","1550","Pottawattamie",32803,1283,327,13,33665,1274,311,6
"G1901570","1950","Iowa","190","Poweshiek","1570","Poweshiek",9366,249,21,10,9438,240,13,7
"G1901590","1950","Iowa","190","Ringgold","1590","Ringgold",4818,34,0,0,4644,30,2,0
"G1901610","1950","Iowa","190","Sac","1610","Sac",8523,325,3,1,8394,264,5,3
"G1901630","1950","Iowa","190","Scott","1630","Scott",47276,2152,622,21,48174,1906,528,19
"G1901650","1950","Iowa","190","Shelby","1650","Shelby",7713,444,0,1,7451,329,1,3
"G1901670","1950","Iowa","190","Sioux","1670","Sioux",12062,1261,1,6,11984,1064,2,1
"G1901690","1950","Iowa","190","Story","1690","Story",22271,674,51,81,20596,563,37,21
"G1901710","1950","Iowa","190","Tama","1710","Tama",10381,446,14,229,10043,350,4,221
"G1901730","1950","Iowa","190","Taylor","1730","Taylor",6132,58,4,1,6173,49,3,0
"G1901750","1950","Iowa","190","Union","1750","Union",7599,110,7,1,7813,116,5,0
"G1901770","1950","Iowa","190","Van Buren","1770","Van Buren",5529,40,5,1,5386,43,3,0
"G1901790","1950","Iowa","190","Wapello","1790","Wapello",22567,350,257,2,23656,332,227,6
"G1901810","1950","Iowa","190","Warren","1810","Warren",8913,89,5,4,8675,68,2,2
"G1901830","1950","Iowa","190","Washington","1830","Washington",9579,140,7,4,9684,132,11,0
"G1901850","1950","Iowa","190","Wayne","1850","Wayne",5842,37,6,0,5823,28,1,0
"G1901870","1950","Iowa","190","Webster","1870","Webster",20946,1006,170,17,21093,863,131,15
"G1901890","1950","Iowa","190","Winnebago","1890","Winnebago",6446,366,3,1,6331,302,1,0
"G1901910","1950","Iowa","190","Winneshiek","1910","Winneshiek",10929,283,4,3,10168,251,1,0
"G1901930","1950","Iowa","190","Woodbury","1930","Woodbury",47397,2916,457,161,49793,2610,418,165
"G1901950","1950","Iowa","190","Worth","1950","Worth",5417,295,32,2,5099,203,19,1
"G1901970","1950","Iowa","190","Wright","1970","Wright",9481,423,6,2,9398,341,0,1
"G2000010","1950","Kansas","200","Allen","0010","Allen",8670,101,162,33,8927,90,169,35
"G2000030","1950","Kansas","200","Anderson","0030","Anderson",5129,65,12,1,4979,65,16,0
"G2000050","1950","Kansas","200","Atchison","0050","Atchison",9810,247,699,13,9769,225,729,4
"G2000070","1950","Kansas","200","Barber","0070","Barber",4172,56,27,3,4201,52,9,1
"G2000090","1950","Kansas","200","Barton","0090","Barton",14170,315,246,8,14533,353,283,1
"G2000110","1950","Kansas","200","Bourbon","0110","Bourbon",9066,73,311,7,9259,80,350,7
"G2000130","1950","Kansas","200","Brown","0130","Brown",6847,158,95,172,6977,150,78,174
"G2000150","1950","Kansas","200","Butler","0150","Butler",15358,178,100,20,15069,164,101,11
"G2000170","1950","Kansas","200","Chase","0170","Chase",2349,42,24,1,2362,37,16,0
"G2000190","1950","Kansas","200","Chautauqua","0190","Chautauqua",3700,11,24,10,3591,7,28,5
"G2000210","1950","Kansas","200","Cherokee","0210","Cherokee",12019,208,168,14,12342,226,162,5
"G2000230","1950","Kansas","200","Cheyenne","0230","Cheyenne",2792,113,3,0,2662,97,1,0
"G2000250","1950","Kansas","200","Clark","0250","Clark",2018,19,9,0,1867,28,4,1
"G2000270","1950","Kansas","200","Clay","0270","Clay",5565,150,6,2,5822,146,5,1
"G2000290","1950","Kansas","200","Cloud","0290","Cloud",7793,108,5,4,8038,148,5,3
"G2000310","1950","Kansas","200","Coffey","0310","Coffey",5194,69,5,2,5089,47,2,0
"G2000330","1950","Kansas","200","Comanche","0330","Comanche",1941,13,0,0,1912,19,0,3
"G2000350","1950","Kansas","200","Cowley","0350","Cowley",17315,172,438,51,18292,151,448,38
"G2000370","1950","Kansas","200","Crawford","0370","Crawford",18182,1313,246,1,19036,1131,319,3
"G2000390","1950","Kansas","200","Decatur","0390","Decatur",3068,53,1,0,3006,57,0,0
"G2000410","1950","Kansas","200","Dickinson","0410","Dickinson",10133,244,104,2,10347,266,92,2
"G2000430","1950","Kansas","200","Doniphan","0430","Doniphan",5105,73,209,10,4834,61,194,13
"G2000450","1950","Kansas","200","Douglas","0450","Douglas",16409,288,854,211,15052,228,870,174
"G2000470","1950","Kansas","200","Edwards","0470","Edwards",2952,54,10,0,2855,60,5,0
"G2000490","1950","Kansas","200","Elk","0490","Elk",3355,23,1,5,3258,27,3,7
"G2000510","1950","Kansas","200","Ellis","0510","Ellis",9329,307,16,1,9088,284,17,1
"G2000530","1950","Kansas","200","Ellsworth","0530","Ellsworth",4032,192,14,2,3993,212,20,0
"G2000550","1950","Kansas","200","Finney","0550","Finney",7342,193,126,2,7110,180,136,3
"G2000570","1950","Kansas","200","Ford","0570","Ford",9484,173,117,6,9565,171,146,8
"G2000590","1950","Kansas","200","Franklin","0590","Franklin",9533,143,178,6,9771,119,168,10
"G2000610","1950","Kansas","200","Geary","0610","Geary",10678,266,922,60,8620,445,648,32
"G2000630","1950","Kansas","200","Gove","0630","Gove",2248,80,5,1,2043,60,10,0
"G2000650","1950","Kansas","200","Graham","0650","Graham",2404,50,136,0,2262,39,129,0
"G2000670","1950","Kansas","200","Grant","0670","Grant",2434,18,1,6,2155,22,1,1
"G2000690","1950","Kansas","200","Gray","0690","Gray",2410,42,7,0,2400,23,12,0
"G2000710","1950","Kansas","200","Greeley","0710","Greeley",1037,4,34,1,930,4,0,0
"G2000730","1950","Kansas","200","Greenwood","0730","Greenwood",6846,73,5,5,6588,53,1,3
"G2000750","1950","Kansas","200","Hamilton","0750","Hamilton",1939,17,3,5,1706,14,6,6
"G2000770","1950","Kansas","200","Harper","0770","Harper",4988,60,13,39,5107,48,7,1
"G2000790","1950","Kansas","200","Harvey","0790","Harvey",9892,377,184,10,10632,390,201,12
"G2000810","1950","Kansas","200","Haskell","0810","Haskell",1313,18,0,7,1249,15,0,4
"G2000830","1950","Kansas","200","Hodgeman","0830","Hodgeman",1698,25,4,1,1563,18,1,0
"G2000850","1950","Kansas","200","Jackson","0850","Jackson",5321,82,18,231,5142,77,17,210
"G2000870","1950","Kansas","200","Jefferson","0870","Jefferson",5580,46,48,8,5288,56,50,8
"G2000890","1950","Kansas","200","Jewell","0890","Jewell",4870,58,4,1,4723,39,1,2
"G2000910","1950","Kansas","200","Johnson","0910","Johnson",30315,586,332,14,30621,532,374,9
"G2000930","1950","Kansas","200","Kearny","0930","Kearny",1868,41,0,1,1553,29,0,0
"G2000950","1950","Kansas","200","Kingman","0950","Kingman",5151,64,24,0,5013,65,7,0
"G2000970","1950","Kansas","200","Kiowa","0970","Kiowa",2381,17,0,0,2326,17,2,0
"G2000990","1950","Kansas","200","Labette","0990","Labette",13235,148,714,30,14184,133,820,21
"G2001010","1950","Kansas","200","Lane","1010","Lane",1455,27,4,0,1305,15,1,1
"G2001030","1950","Kansas","200","Leavenworth","1030","Leavenworth",20753,647,2409,125,16617,532,1254,24
"G2001050","1950","Kansas","200","Lincoln","1050","Lincoln",3342,86,1,1,3127,82,3,1
"G2001070","1950","Kansas","200","Linn","1070","Linn",5010,27,46,1,4906,22,40,1
"G2001090","1950","Kansas","200","Logan","1090","Logan",2061,39,46,1,1974,36,49,0
"G2001110","1950","Kansas","200","Lyon","1110","Lyon",12653,248,241,13,12878,252,287,4
"G2001130","1950","Kansas","200","McPherson","1130","Mcpherson",11330,414,19,3,11523,357,22,2
"G2001150","1950","Kansas","200","Marion","1150","Marion",7664,492,17,2,7649,467,15,1
"G2001170","1950","Kansas","200","Marshall","1170","Marshall",8747,284,13,0,8636,229,16,1
"G2001190","1950","Kansas","200","Meade","1190","Meade",2921,36,5,0,2691,52,5,0
"G2001210","1950","Kansas","200","Miami","1210","Miami",9220,140,377,0,9431,111,417,2
"G2001230","1950","Kansas","200","Mitchell","1230","Mitchell",5010,65,1,0,5138,75,31,0
"G2001250","1950","Kansas","200","Montgomery","1250","Montgomery",20639,248,1729,15,21764,227,1852,13
"G2001270","1950","Kansas","200","Morris","1270","Morris",4196,75,39,1,4031,100,42,1
"G2001290","1950","Kansas","200","Morton","1290","Morton",1362,12,4,0,1224,7,1,0
"G2001310","1950","Kansas","200","Nemaha","1310","Nemaha",7053,154,39,2,6900,162,31,0
"G2001330","1950","Kansas","200","Neosho","1330","Neosho",9694,140,172,10,10016,131,183,2
"G2001350","1950","Kansas","200","Ness","1350","Ness",3151,114,2,0,2936,118,1,0
"G2001370","1950","Kansas","200","Norton","1370","Norton",4338,51,12,3,4323,72,7,2
"G2001390","1950","Kansas","200","Osage","1390","Osage",6312,156,23,3,6141,158,17,1
"G2001410","1950","Kansas","200","Osborne","1410","Osborne",4251,47,19,0,4187,48,6,0
"G2001430","1950","Kansas","200","Ottawa","1430","Ottawa",3636,72,14,0,3480,55,8,0
"G2001450","1950","Kansas","200","Pawnee","1450","Pawnee",5244,84,141,2,5424,80,66,0
"G2001470","1950","Kansas","200","Phillips","1470","Phillips",4601,91,10,2,4468,90,11,0
"G2001490","1950","Kansas","200","Pottawatomie","1490","Pottawatomie",6286,139,10,3,5772,122,6,6
"G2001510","1950","Kansas","200","Pratt","1510","Pratt",5844,60,141,0,5913,55,143,0
"G2001530","1950","Kansas","200","Rawlins","1530","Rawlins",2895,93,1,0,2646,93,0,0
"G2001550","1950","Kansas","200","Reno","1550","Reno",25764,414,512,10,26483,412,456,7
"G2001570","1950","Kansas","200","Republic","1570","Republic",5654,211,2,1,5435,173,2,0
"G2001590","1950","Kansas","200","Rice","1590","Rice",7650,125,40,3,7653,115,49,0
"G2001610","1950","Kansas","200","Riley","1610","Riley",18838,339,413,88,13137,272,293,25
"G2001630","1950","Kansas","200","Rooks","1630","Rooks",4538,54,27,0,4355,48,21,0
"G2001650","1950","Kansas","200","Rush","1650","Rush",3521,165,2,1,3364,173,4,1
"G2001670","1950","Kansas","200","Russell","1670","Russell",6523,249,19,3,6343,232,34,3
"G2001690","1950","Kansas","200","Saline","1690","Saline",15633,297,308,12,16522,327,304,6
"G2001710","1950","Kansas","200","Scott","1710","Scott",2516,32,2,9,2325,31,0,6
"G2001730","1950","Kansas","200","Sedgwick","1730","Sedgwick",101635,1466,4721,242,107567,1476,5025,158
"G2001750","1950","Kansas","200","Seward","1750","Seward",4965,41,43,4,4835,42,37,5
"G2001770","1950","Kansas","200","Shawnee","1770","Shawnee",45663,1151,3598,186,49576,1266,3788,190
"G2001790","1950","Kansas","200","Sheridan","1790","Sheridan",2378,35,0,0,2166,27,0,1
"G2001810","1950","Kansas","200","Sherman","1810","Sherman",3642,75,2,0,3597,57,0,0
"G2001830","1950","Kansas","200","Smith","1830","Smith",4397,84,2,0,4285,78,0,0
"G2001850","1950","Kansas","200","Stafford","1850","Stafford",4405,49,14,2,4294,41,9,2
"G2001870","1950","Kansas","200","Stanton","1870","Stanton",1221,9,2,2,1020,3,3,3
"G2001890","1950","Kansas","200","Stevens","1890","Stevens",2339,7,43,3,2075,13,36,0
"G2001910","1950","Kansas","200","Sumner","1910","Sumner",11417,177,147,5,11621,163,112,4
"G2001930","1950","Kansas","200","Thomas","1930","Thomas",3829,49,5,1,3646,41,1,0
"G2001950","1950","Kansas","200","Trego","1950","Trego",2841,149,9,2,2731,125,8,3
"G2001970","1950","Kansas","200","Wabaunsee","1970","Wabaunsee",3607,77,113,0,3261,63,91,0
"G2001990","1950","Kansas","200","Wallace","1990","Wallace",1267,27,11,0,1176,15,12,0
"G2002010","1950","Kansas","200","Washington","2010","Washington",6482,177,0,1,6166,151,0,0
"G2002030","1950","Kansas","200","Wichita","2030","Wichita",1378,27,4,0,1195,28,6,2
"G2002050","1950","Kansas","200","Wilson","2050","Wilson",7219,40,44,1,7422,50,39,0
"G2002070","1950","Kansas","200","Woodson","2070","Woodson",3375,37,1,2,3273,19,1,3
"G2002090","1950","Kansas","200","Wyandotte","2090","Wyandotte",63840,2894,14041,69,66405,2704,15326,39
"G2100010","1950","Kentucky","210","Adair","0010","Adair",8507,7,469,0,8150,7,463,0
"G2100030","1950","Kentucky","210","Allen","0030","Allen",6697,8,124,6,6820,9,122,1
"G2100050","1950","Kentucky","210","Anderson","0050","Anderson",4254,5,234,0,4253,9,229,0
"G2100070","1950","Kentucky","210","Ballard","0070","Ballard",4058,2,284,0,3954,4,243,0
"G2100090","1950","Kentucky","210","Barren","0090","Barren",13128,22,1075,0,13071,22,1142,1
"G2100110","1950","Kentucky","210","Bath","0110","Bath",5096,5,267,0,4755,10,277,0
"G2100130","1950","Kentucky","210","Bell","0130","Bell",22862,95,804,1,22954,53,831,2
"G2100150","1950","Kentucky","210","Boone","0150","Boone",6442,44,91,1,6312,35,90,0
"G2100170","1950","Kentucky","210","Bourbon","0170","Bourbon",7397,27,1307,1,7559,32,1428,1
"G2100190","1950","Kentucky","210","Boyd","0190","Boyd",24172,145,489,6,24591,117,424,5
"G2100210","1950","Kentucky","210","Boyle","0210","Boyle",8995,50,1222,0,8871,49,1345,0
"G2100230","1950","Kentucky","210","Bracken","0230","Bracken",4182,22,66,3,4073,15,63,0
"G2100250","1950","Kentucky","210","Breathitt","0250","Breathitt",10035,13,32,3,9825,8,47,1
"G2100270","1950","Kentucky","210","Breckinridge","0270","Breckinridge",7534,8,330,1,7304,8,343,0
"G2100290","1950","Kentucky","210","Bullitt","0290","Bullitt",5675,25,131,11,5351,19,129,8
"G2100310","1950","Kentucky","210","Butler","0310","Butler",5728,5,73,2,5420,5,76,0
"G2100330","1950","Kentucky","210","Caldwell","0330","Caldwell",5959,6,493,0,6209,14,517,1
"G2100350","1950","Kentucky","210","Calloway","0350","Calloway",9641,14,390,3,9669,23,407,0
"G2100370","1950","Kentucky","210","Campbell","0370","Campbell",35707,566,473,7,38282,629,531,1
"G2100390","1950","Kentucky","210","Carlisle","0390","Carlisle",3079,5,54,0,3014,4,50,0
"G2100410","1950","Kentucky","210","Carroll","0410","Carroll",4134,12,139,1,4085,21,124,1
"G2100430","1950","Kentucky","210","Carter","0430","Carter",11413,14,18,3,11085,14,11,1
"G2100450","1950","Kentucky","210","Casey","0450","Casey",8868,7,33,0,8500,6,32,0
"G2100470","1950","Kentucky","210","Christian","0470","Christian",17669,114,4710,33,14546,124,5161,2
"G2100490","1950","Kentucky","210","Clark","0490","Clark",8410,52,924,17,8532,35,918,10
"G2100510","1950","Kentucky","210","Clay","0510","Clay",11647,17,245,3,10970,8,226,0
"G2100530","1950","Kentucky","210","Clinton","0530","Clinton",5377,9,24,2,5164,6,23,0
"G2100550","1950","Kentucky","210","Crittenden","0550","Crittenden",5278,5,60,1,5397,9,68,0
"G2100570","1950","Kentucky","210","Cumberland","0570","Cumberland",4465,1,293,1,4264,2,281,2
"G2100590","1950","Kentucky","210","Daviess","0590","Daviess",26252,84,1417,8,27874,99,1506,1
"G2100610","1950","Kentucky","210","Edmonson","0610","Edmonson",4762,7,68,3,4477,2,57,0
"G2100630","1950","Kentucky","210","Elliott","0630","Elliott",3611,2,0,0,3470,2,0,0
"G2100650","1950","Kentucky","210","Estill","0650","Estill",7254,28,32,3,7316,10,33,1
"G2100670","1950","Kentucky","210","Fayette","0670","Fayette",41113,594,8575,61,41143,431,8819,10
"G2100690","1950","Kentucky","210","Fleming","0690","Fleming",5946,18,176,3,5638,6,175,0
"G2100710","1950","Kentucky","210","Floyd","0710","Floyd",26790,79,323,6,25967,40,293,2
"G2100730","1950","Kentucky","210","Franklin","0730","Franklin",11478,69,1204,5,11841,77,1258,1
"G2100750","1950","Kentucky","210","Fulton","0750","Fulton",5549,26,1136,10,5735,22,1184,6
"G2100770","1950","Kentucky","210","Gallatin","0770","Gallatin",2010,5,45,1,1844,8,56,0
"G2100790","1950","Kentucky","210","Garrard","0790","Garrard",5063,11,509,0,4916,10,520,0
"G2100810","1950","Kentucky","210","Grant","0810","Grant",4926,8,35,0,4788,10,42,0
"G2100830","1950","Kentucky","210","Graves","0830","Graves",14598,44,847,3,14929,36,905,2
"G2100850","1950","Kentucky","210","Grayson","0850","Grayson",8641,16,38,1,8312,10,43,2
"G2100870","1950","Kentucky","210","Green","0870","Green",5369,5,373,1,5137,6,370,0
"G2100890","1950","Kentucky","210","Greenup","0890","Greenup",12590,19,86,4,12086,22,78,2
"G2100910","1950","Kentucky","210","Hancock","0910","Hancock",2898,8,98,2,2912,4,87,0
"G2100930","1950","Kentucky","210","Hardin","0930","Hardin",29107,215,2139,55,17663,396,707,30
"G2100950","1950","Kentucky","210","Harlan","0950","Harlan",33403,257,2767,13,32499,139,2669,4
"G2100970","1950","Kentucky","210","Harrison","0970","Harrison",6509,26,323,6,6519,26,320,7
"G2100990","1950","Kentucky","210","Hart","0990","Hart",7132,6,745,0,6720,8,710,0
"G2101010","1950","Kentucky","210","Henderson","1010","Henderson",13363,49,1722,1,13688,75,1817,0
"G2101030","1950","Kentucky","210","Henry","1030","Henry",5319,4,418,0,5192,10,451,0
"G2101050","1950","Kentucky","210","Hickman","1050","Hickman",3471,8,484,5,3347,9,452,2
"G2101070","1950","Kentucky","210","Hopkins","1070","Hopkins",17473,26,1761,3,17602,29,1921,0
"G2101090","1950","Kentucky","210","Jackson","1090","Jackson",6691,5,1,0,6393,9,2,0
"G2101110","1950","Kentucky","210","Jefferson","1110","Jefferson",200203,3067,29685,82,215358,3237,32935,48
"G2101130","1950","Kentucky","210","Jessamine","1130","Jessamine",5662,26,592,10,5569,35,563,1
"G2101150","1950","Kentucky","210","Johnson","1150","Johnson",11976,19,1,1,11831,16,2,0
"G2101170","1950","Kentucky","210","Kenton","1170","Kenton",47393,624,1918,17,51590,653,2054,5
"G2101190","1950","Kentucky","210","Knott","1190","Knott",10193,11,88,1,9950,7,70,0
"G2101210","1950","Kentucky","210","Knox","1210","Knox",15049,27,255,5,14789,24,260,0
"G2101230","1950","Kentucky","210","Larue","1230","Larue",4763,15,256,2,4622,7,291,0
"G2101250","1950","Kentucky","210","Laurel","1250","Laurel",12856,42,130,2,12586,30,151,0
"G2101270","1950","Kentucky","210","Lawrence","1270","Lawrence",7170,7,37,1,7167,3,32,1
"G2101290","1950","Kentucky","210","Lee","1290","Lee",4461,6,19,1,4231,2,19,0
"G2101310","1950","Kentucky","210","Leslie","1310","Leslie",7943,9,6,1,7559,18,1,0
"G2101330","1950","Kentucky","210","Letcher","1330","Letcher",19279,80,581,2,18922,54,604,0
"G2101350","1950","Kentucky","210","Lewis","1350","Lewis",6954,14,12,2,6509,18,11,0
"G2101370","1950","Kentucky","210","Lincoln","1370","Lincoln",8815,41,533,1,8712,48,518,0
"G2101390","1950","Kentucky","210","Livingston","1390","Livingston",3563,7,57,0,3500,3,54,0
"G2101410","1950","Kentucky","210","Logan","1410","Logan",9917,23,1288,1,9834,14,1257,1
"G2101430","1950","Kentucky","210","Lyon","1430","Lyon",3431,5,550,1,2682,5,179,0
"G2101450","1950","Kentucky","210","McCracken","1450","Mccracken",20858,117,2785,7,22100,88,3179,3
"G2101470","1950","Kentucky","210","McCreary","1470","Mccreary",8391,19,16,6,8201,12,15,0
"G2101490","1950","Kentucky","210","McLean","1490","Mclean",5083,6,43,1,4827,5,56,0
"G2101510","1950","Kentucky","210","Madison","1510","Madison",14048,58,1341,9,14263,61,1388,11
"G2101530","1950","Kentucky","210","Magoffin","1530","Magoffin",7082,2,11,0,6735,6,2,1
"G2101550","1950","Kentucky","210","Marion","1550","Marion",7779,35,663,2,7981,34,717,1
"G2101570","1950","Kentucky","210","Marshall","1570","Marshall",6767,15,3,3,6583,8,8,0
"G2101590","1950","Kentucky","210","Martin","1590","Martin",5963,22,0,1,5679,12,0,0
"G2101610","1950","Kentucky","210","Mason","1610","Mason",8159,23,918,1,8419,38,927,1
"G2101630","1950","Kentucky","210","Meade","1630","Meade",4622,9,167,0,4435,32,156,1
"G2101650","1950","Kentucky","210","Menifee","1650","Menifee",2420,4,11,0,2350,5,8,0
"G2101670","1950","Kentucky","210","Mercer","1670","Mercer",6734,16,484,3,6862,20,523,1
"G2101690","1950","Kentucky","210","Metcalfe","1690","Metcalfe",4846,8,210,1,4569,5,212,0
"G2101710","1950","Kentucky","210","Monroe","1710","Monroe",6965,6,189,1,6418,15,175,1
"G2101730","1950","Kentucky","210","Montgomery","1730","Montgomery",5736,19,615,1,5943,17,692,2
"G2101750","1950","Kentucky","210","Morgan","1750","Morgan",6961,7,0,2,6646,8,0,0
"G2101770","1950","Kentucky","210","Muhlenberg","1770","Muhlenberg",15305,47,782,2,15456,53,854,2
"G2101790","1950","Kentucky","210","Nelson","1790","Nelson",8936,55,800,1,8878,43,787,21
"G2101810","1950","Kentucky","210","Nicholas","1810","Nicholas",3720,5,143,1,3503,7,153,0
"G2101830","1950","Kentucky","210","Ohio","1830","Ohio",10352,14,186,1,10076,10,201,0
"G2101850","1950","Kentucky","210","Oldham","1850","Oldham",5664,32,834,1,4082,32,372,1
"G2101870","1950","Kentucky","210","Owen","1870","Owen",4825,9,229,1,4502,12,177,0
"G2101890","1950","Kentucky","210","Owsley","1890","Owsley",3785,3,19,0,3495,7,14,1
"G2101910","1950","Kentucky","210","Pendleton","1910","Pendleton",4875,11,56,0,4610,19,39,0
"G2101930","1950","Kentucky","210","Perry","1930","Perry",22821,76,764,3,22075,61,761,5
"G2101950","1950","Kentucky","210","Pike","1950","Pike",40325,170,600,7,39359,104,587,2
"G2101970","1950","Kentucky","210","Powell","1970","Powell",3373,2,79,0,3289,6,63,0
"G2101990","1950","Kentucky","210","Pulaski","1990","Pulaski",19104,40,376,5,18493,31,401,2
"G2102010","1950","Kentucky","210","Robertson","2010","Robertson",1459,1,16,0,1387,3,15,0
"G2102030","1950","Kentucky","210","Rockcastle","2030","Rockcastle",7086,5,8,2,6818,3,3,0
"G2102050","1950","Kentucky","210","Rowan","2050","Rowan",6439,18,5,0,6224,18,4,0
"G2102070","1950","Kentucky","210","Russell","2070","Russell",6953,6,84,0,6599,5,69,1
"G2102090","1950","Kentucky","210","Scott","2090","Scott",6673,29,892,3,6636,22,880,6
"G2102110","1950","Kentucky","210","Shelby","2110","Shelby",7858,20,1165,0,7687,21,1159,2
"G2102130","1950","Kentucky","210","Simpson","2130","Simpson",5008,13,766,2,5128,23,738,0
"G2102150","1950","Kentucky","210","Spencer","2150","Spencer",3049,2,179,1,2746,7,173,0
"G2102170","1950","Kentucky","210","Taylor","2170","Taylor",6680,1,547,1,6653,7,514,0
"G2102190","1950","Kentucky","210","Todd","2190","Todd",5314,5,1127,3,5284,7,1150,0
"G2102210","1950","Kentucky","210","Trigg","2210","Trigg",4239,1,726,0,3994,8,715,0
"G2102230","1950","Kentucky","210","Trimble","2230","Trimble",2613,10,8,0,2507,6,4,0
"G2102250","1950","Kentucky","210","Union","2250","Union",6721,22,692,1,6747,17,689,4
"G2102270","1950","Kentucky","210","Warren","2270","Warren",19075,39,2142,7,19135,54,2303,3
"G2102290","1950","Kentucky","210","Washington","2290","Washington",5691,19,657,0,5741,20,649,0
"G2102310","1950","Kentucky","210","Wayne","2310","Wayne",8044,6,214,20,7976,6,191,18
"G2102330","1950","Kentucky","210","Webster","2330","Webster",6999,15,731,1,7003,16,790,0
